   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3424    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.004    0.004 MMCIF2Dict.py:1(<module>)
  400/397    0.000    0.000    0.004    0.000 locking.py:23(__exit__)
     3061    0.003    0.000    0.004    0.000 subprocess.py:1233(poll)
     6548    0.004    0.000    0.004    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
    45/12    0.000    0.000    0.004    0.000 typing.py:1299(_determine_new_args)
      207    0.000    0.000    0.004    0.000 enum.py:726(__call__)
       39    0.000    0.000    0.004    0.000 typing.py:514(__getitem__)
        1    0.000    0.000    0.004    0.004 File.py:1(<module>)
        1    0.000    0.000    0.004    0.004 Atom.py:1(<module>)
     3280    0.004    0.000    0.004    0.000 {built-in method pymol._cmd.get_feedback}
    45/12    0.000    0.000    0.004    0.000 typing.py:1328(_make_substitution)
     2108    0.002    0.000    0.003    0.000 shortcut.py:20(mkabbr)
      575    0.000    0.000    0.003    0.000 __init__.py:179(sub)
     3074    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.003    0.003 getlimits.py:166(_register_known_types)
      122    0.001    0.000    0.003    0.000 typing.py:345(_remove_dups_flatten)
       39    0.000    0.000    0.003    0.000 typing.py:746(Literal)
        1    0.000    0.000    0.003    0.003 keyboard.py:87(get_default_keys)
       36    0.001    0.000    0.003    0.000 enum.py:528(__new__)
      373    0.002    0.000    0.003    0.000 typing.py:175(_type_check)
     3059    0.003    0.000    0.003    0.000 {built-in method width}
        2    0.000    0.000    0.003    0.002 importing.py:643(load)
     2083    0.002    0.000    0.003    0.000 typing.py:1134(_is_dunder)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
     3061    0.003    0.000    0.003    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.003    0.003 importing.py:1014(read_pdbstr)
        1    0.003    0.003    0.003    0.003 {built-in method pymol._cmd.load}
        1    0.000    0.000    0.003    0.003 shortcut_manager.py:1(<module>)
      750    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      460    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.003    0.003 pymol_gl_widget.py:209(resizeGL)
       68    0.001    0.000    0.003    0.000 pymol_qt_gui.py:1041(SettingAction)
        1    0.000    0.000    0.003    0.003 format.py:1(<module>)
      185    0.002    0.000    0.003    0.000 monitoring.py:5(get_progress)
        2    0.000    0.000    0.003    0.001 _nanfunctions_impl.py:976(nanmean)
      284    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.003    0.003 context.py:1(<module>)
      226    0.000    0.000    0.003    0.000 typing.py:1147(__init__)
       11    0.000    0.000    0.003    0.000 enum.py:863(_create_)
      402    0.000    0.000    0.003    0.000 typing.py:723(<genexpr>)
     1689    0.001    0.000    0.003    0.000 __init__.py:174(search)
        6    0.001    0.000    0.003    0.000 getlimits.py:34(__init__)
     3061    0.003    0.000    0.003    0.000 {built-in method posix.WIFSTOPPED}
      161    0.000    0.000    0.003    0.000 typing.py:317(_deduplicate)
       78    0.000    0.000    0.003    0.000 __init__.py:49(drag)
      266    0.001    0.000    0.003    0.000 {built-in method fromkeys}
     3082    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
      425    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      750    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     9190    0.003    0.000    0.003    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.003    0.003 __init__.py:40(__getattr__)
        1    0.000    0.000    0.003    0.003 PDBMLParser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 internal_coords.py:2220(IC_Residue)
        1    0.000    0.000    0.003    0.003 commanding.py:1(<module>)
      185    0.000    0.000    0.003    0.000 colorprinting.py:17(text2html)
       78    0.001    0.000    0.003    0.000 {built-in method pymol._cmd._drag}
